table popa_eppa5(rs,t)

	2004	2006	2010	2016	2020	2026	2030	2036	2040	2046	2050	2056	2060	2066	2070	2076	2080	2086	2090	2096	2100
*USA	293.6	296.2	309.7	326.4	341.3	357.0	372.6	390.2	405.9	422.1	439.2	439.4	439.2	439.2	439.0	439.5	439.7	439.9	439.3	439.9	439.7
CAN	31.8	32.0	33.2	34.4	35.6	36.7	37.7	38.5	39.2	39.8	40.4	40.3	40.3	40.3	40.3	40.2	40.1	40.1	40.0	40.0	39.9
MEX	104.7	106.1	112.9	119.2	125.0	130.2	134.9	139.0	142.3	144.9	146.7	149.1	151.2	152.8	154.2	155.3	156.2	157.0	157.7	158.4	159.0
JPN	127.8	128.0	128.2	127.5	126.0	123.8	121.3	118.5	115.6	112.5	109.2	111.5	113.3	114.8	116.0	117.0	117.7	118.3	118.8	119.1	119.5
EUR	494.5	494.6	493.0	490.1	486.2	481.2	474.7	466.6	457.0	446.6	435.5	422.1	409.7	398.4	388.5	380.0	372.6	366.7	362.1	358.9	356.4
ROE	233.0	234.0	238.6	243.9	248.9	253.1	256.2	258.4	259.8	260.5	260.1	262.1	263.6	264.5	265.2	265.7	266.0	266.2	266.3	266.5	266.8
RUS	141.8	140.9	137.0	133.3	129.7	125.7	121.4	117.1	112.9	108.6	104.3	101.0	98.0	95.3	93.0	90.9	89.1	87.7	86.6	85.8	85.2
ASI	446.1	451.7	477.7	501.7	524.3	545.9	565.5	582.5	596.5	607.6	616.2	628.9	639.2	647.6	654.4	659.9	664.2	667.5	670.2	672.2	674.2
CHN	1319.3	1328.6	1373.9	1418.2	1454.5	1479.5	1493.6	1499.9	1499.9	1490.5	1471.7	1450.4	1429.3	1412.2	1395.9	1379.9	1364.7	1353.1	1345.0	1338.9	1334.3
IND	1072.7	1088.6	1164.0	1230.5	1291.3	1351.8	1408.9	1460.1	1503.3	1540.2	1572.1	1594.1	1610.0	1621.3	1629.4	1633.5	1635.1	1635.9	1637.5	1640.0	1643.3
BRA	179.0	181.1	191.4	201.4	210.6	219.0	226.5	233.1	238.7	243.3	247.2	251.4	254.8	257.6	260.0	261.8	263.4	264.7	265.9	267.1	268.1
AFR	872.1	891.7	997.0	1110.0	1231.0	1358.1	1488.9	1619.8	1750.3	1878.7	2000.4	2086.4	2163.6	2231.7	2292.0	2345.9	2391.6	2429.9	2460.3	2483.6	2501.0
MES	191.3	195.6	219.1	244.8	271.5	298.3	325.0	351.6	378.5	404.8	430.3	439.1	446.4	452.2	456.9	460.8	463.8	466.1	468.0	469.4	470.8
LAM	265.7	269.8	289.9	309.5	328.1	345.5	361.7	376.3	389.5	401.3	411.6	418.6	424.2	428.9	432.8	435.8	438.4	440.6	442.6	444.6	446.3
ANZ	33.0	33.4	35.4	37.4	39.4	41.3	43.0	44.6	46.1	47.3	48.6	49.2	49.8	50.2	50.6	50.9	51.2	51.3	51.5	51.6	51.7
REA	557.9	568.8	625.7	684.1	743.1	799.8	852.2	900.6	946.1	990.2	1030.7	1051.8	1069.2	1083.0	1094.4	1103.7	1110.9	1116.4	1120.9	1124.2	1127.6
;
